Datetime;bid;ask
2017-04-27 20:26:42;1289.94;1289.95
2017-04-27 20:26:45;1289.94;1289.95
2017-04-27 20:26:48;1289.94;1289.95
2017-04-27 20:26:51;1289.94;1289.95
2017-04-27 20:26:54;1289.94;1289.95
2017-04-27 20:26:57;1289.94;1289.95
2017-04-27 20:27:00;1289.94;1289.95
2017-04-27 20:27:03;1289.94;1289.95
2017-04-27 20:27:06;1289.94;1289.95
2017-04-27 20:27:09;1289.94;1289.95
2017-04-27 20:27:12;1289.94;1289.95
2017-04-27 20:27:15;1289.94;1289.95
2017-04-27 20:27:18;1289.94;1289.95
2017-04-27 20:27:21;1289.94;1289.95
2017-04-27 20:27:24;1289.94;1289.95
2017-04-27 20:27:27;1289.94;1289.95
2017-04-27 20:27:30;1289.94;1289.95
2017-04-27 20:27:33;1289.94;1289.95
2017-04-27 20:27:36;1289.94;1289.95
2017-04-27 20:27:39;1289.95;1290.81
2017-04-27 20:27:42;1290.8;1290.81
2017-04-27 20:27:45;1290.8;1290.81
2017-04-27 20:27:48;1290.8;1290.81
2017-04-27 20:27:51;1290.8;1290.81
2017-04-27 20:27:54;1290.8;1290.81
2017-04-27 20:27:57;1290.8;1290.81
2017-04-27 20:28:00;1290.8;1290.81
2017-04-27 20:28:03;1290.8;1290.81
2017-04-27 20:28:06;1290.8;1290.81
2017-04-27 20:28:09;1290.8;1290.81
2017-04-27 20:28:12;1290.8;1290.81
2017-04-27 20:28:15;1290.8;1290.81
2017-04-27 20:28:18;1290.8;1290.81
2017-04-27 20:28:21;1290.8;1290.81
2017-04-27 20:28:24;1290.8;1290.81
2017-04-27 20:28:27;1290.8;1290.81
2017-04-27 20:28:30;1290.8;1290.81
2017-04-27 20:28:33;1290.8;1290.81
2017-04-27 20:28:36;1290.8;1290.81
2017-04-27 20:28:39;1290.8;1290.81
2017-04-27 20:28:42;1290.8;1290.81
2017-04-27 20:28:45;1290.8;1290.81
2017-04-27 20:28:48;1291;1291.71
2017-04-27 20:28:51;1291.37;1291.71
2017-04-27 20:28:54;1291.7;1291.71
2017-04-27 20:28:57;1291.7;1291.71
2017-04-27 20:29:00;1291.7;1291.71
2017-04-27 20:29:03;1291.7;1291.71
2017-04-27 20:29:06;1291.7;1291.71
2017-04-27 20:29:09;1291.7;1291.71
2017-04-27 20:29:12;1291.7;1291.71
2017-04-27 20:29:15;1291.7;1291.71
2017-04-27 20:29:18;1291.7;1291.71
2017-04-27 20:29:21;1291.7;1291.71
2017-04-27 20:29:24;1291.7;1291.71
2017-04-27 20:29:27;1291.7;1291.71
2017-04-27 20:29:30;1291.7;1291.71
2017-04-27 20:29:33;1291.7;1291.71
2017-04-27 20:29:36;1291.7;1291.71
2017-04-27 20:29:39;1291.7;1291.71
2017-04-27 20:29:42;1291.7;1291.71
2017-04-27 20:29:45;1291.7;1291.71
2017-04-27 20:29:48;1291.7;1291.71
2017-04-27 20:29:51;1291.7;1291.71
2017-04-27 20:29:54;1291.7;1291.71
2017-04-27 20:29:57;1291.7;1291.71
2017-04-27 20:30:00;1291.7;1291.71
